slang,formal,category,length
lwt,lewat,abreviasi,3
cma,cuma,abreviasi,3
ingi,ingin,abreviasi,4
bpknya,bapaknya,abreviasi,6
jwb,jawab,abreviasi,3
gaa,enggak,abreviasi,3
mti,mati,abreviasi,3
bgect,banget,abreviasi,5
aer,air,modifikasi vokal,3
bgni,begini,abreviasi,4
skalii,sekali,zeroisasi,6
gg,enggak,abreviasi,2
inia,ini,anaptiksis,4
qmu,kamu,abreviasi,3
pjg,panjang,abreviasi,3
bca,baca,abreviasi,3
mataq,mataku,homofon,5
sayy,sayang,abreviasi,4
dallam,dalam,elongasi,6
klg,keluarga,abreviasi,3
bpkmu,bapakmu,abreviasi,5
sangt,sangat,abreviasi,5
baang,bang,elongasi,5
yuu,yuk,zeroisasi,3
samaa,sama,elongasi,5
aahh,ah,elongasi,4
ono,sono,abreviasi,3
sehh,sih,modifikasi vokal,4
loo,loh,abreviasi,3
dsni,disini,abreviasi,4
pdhal,padahal,abreviasi,5
yh,ya,abreviasi,2
mauuuu,mau,elongasi,6
iaa,iya,subtitusi,3
yayang,sayang,subtitusi,6
ska,suka,abreviasi,3
kaaan,kan,elongasi,5
beut,banget,abreviasi,4
mauu,mau,elongasi,4
gtuu,begitu,abreviasi,4
to,tapi,abreviasi,2
gituin,begitukan,afiksasi,6
cba,coba,abreviasi,3
nh,nih,abreviasi,2
giniin,beginikan,afiksasi,6
ksini,kesini,abreviasi,5
ayank,sayang,subtitusi,5
yankkk,sayang,abreviasi,6
yhaaa,ya,elongasi,5
banx,bang,subtitusi,4
edannn,edan,elongasi,6
hub,hubungi,abreviasi,3
elahh,alah,elongasi,5
pan,kapan,abreviasi,3
geetoo,begitu,elongasi,6
yaaang,yang,elongasi,6
gituu,begitu,elongasi,5
yappp,ya,anaptiksis,5
ujg,ujung,abreviasi,3
smp,sampai,abreviasi,3
kki,kaki,abreviasi,3
bngttt,banget,abreviasi,6
iiih,ih,elongasi,4
tay,tahi,subtitusi,3
bgitu,begitu,abreviasi,5
sich,sih,anaptiksis,4
mk.a,makanya,pungtuasi,4
kyk.a,kayaknya,pungtuasi,5
ori,orisinal,abreviasi,3
batwc,banget,abreviasi,5
mao,mau,modifikasi vokal,3
wjh,wajah,abreviasi,3
bgettt,banget,abreviasi,6
bbrpa,beberapa,abreviasi,5
apalg,apalagi,abreviasi,5
bgmana,bagaimana,abreviasi,6
mndpt,mendapat,abreviasi,5
skt,sakit,abreviasi,3
tsb,tersebut,abreviasi,3
t4,tempat,subtitusi,2
bol3h,boleh,subtitusi,5
kamu2,kamu-kamu,reduplikasi,5
